column,name,short_name,type
23,DB connection started:(incld/dx (source01.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source01.JDBCConnectionPoolRuntime,dbl
24,Rel. nonHeap usage:((Memory.NonHeapMemoryUsage.used / Memory.NonHeapMemoryUsage.max)),Rel. nonHeap usage,dbl
25,DB connection started:(incld/dx (source03.JDBCConnectionPoolRuntime.ConnectionsTotalCount)),DB connection started:source03.JDBCConnectionPoolRuntime,dbl
26,Prepared statement cache hit rate:((source01.JDBCDataSourceRuntime.PrepStmtCacheHitCount / source01.JDBCDataSourceRuntime.PrepStmtCacheMissCount)),Prepared statement cache hit rate:source01.JDBCDataSourceRuntime,dbl
27,Connection delay:(source03.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source03.JDBCDataSourceRuntime,dbl
28,Reserve request activity:(incld/dx (source08.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source08.JDBCDataSourceRuntime,dbl
29,Rel. Swap Usage:((\Swap\used / \Swap\total)),Rel. Swap Usage,dbl
30,Stuck threads:(ClusterMessaging.WorkManagerRuntime.StuckThreadCount),Stuck threads:ClusterMessaging,dbl
31,Failing reserve requests:(incld/dx (source04.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source04.JDBCDataSourceRuntime,dbl
32,Failing reserve requests:(incld/dx (source06.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source06.JDBCDataSourceRuntime,dbl
33,Failing reserve requests:(incld/dx (source08.JDBCDataSourceRuntime.FailedReserveRequestCount)),Failing reserve requests:source08.JDBCDataSourceRuntime,dbl
34,Stuck threads:(batchModules2.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:batchModules2,dbl
35,Active connections:(source05.JDBCDataSourceRuntime.ActiveConnectionsCurrentCount),Active connections:source05.JDBCDataSourceRuntime,dbl
36,Reserve request activity:(incld/dx (source10.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source10.JDBCDataSourceRuntime,dbl
37,Memory space usage:((PS Perm Gen.MemoryPool.Usage.committed / PS Perm Gen.MemoryPool.Usage.max)),Memory space usage:PS Perm Gen.Committed,dbl
38,Physical mem activity:(d/dx (OperatingSystem.FreePhysicalMemorySize)),Physical mem activity:OperatingSystem,dbl
39,Stuck threads:(source02.default.WorkManagerRuntime.StuckThreadCount),Stuck threads:source02,dbl
40,Reserve request activity:(incld/dx (source05.JDBCDataSourceRuntime.ReserveRequestCount)),Reserve request activity:source05.JDBCDataSourceRuntime,dbl
41,Successful wait for connection:(incld/dx (source02.JDBCDataSourceRuntime.WaitingForConnectionSuccessTotal)),Successful wait for connection:source02.JDBCDataSourceRuntime,dbl
42,Rel. unavailable connections:((source02.JDBCConnectionPoolRuntime.NumUnavailable / source02.JDBCConnectionPoolRuntime.CurrCapacity)),Rel. unavailable connections:source02.JDBCConnectionPoolRuntime,dbl
43,Memory space usage:((Code.MemoryPool.Usage.used / Code.MemoryPool.Usage.max)),Memory space usage:Code.Used,dbl
44,Rel. nonHeap committed:((Memory.NonHeapMemoryUsage.committed / Memory.NonHeapMemoryUsage.max)),Rel. nonHeap committed,dbl
45,Connection delay:(source09.JDBCDataSourceRuntime.ConnectionDelayTime),Connection delay:source09.JDBCDataSourceRuntime,dbl
46,Available db connection activity:(d/dx (source05.JDBCDataSourceRuntime.NumAvailable)),Available db connection activity:source05.JDBCDataSourceRuntime,dbl
47,Process CPU:(OperatingSystem.ProcessCpuLoad),Process CPU: OperatingSystem,dbl
48,Connection delay:(source09.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source09.JDBCConnectionPoolRuntime,dbl
49,Class loading activity:(d/dx (ClassLoading.LoadedClassCount)),Class loading activity,dbl
50,Memory space usage:((PS Survivor Space.MemoryPool.Usage.used / PS Survivor Space.MemoryPool.Usage.max)),Memory space usage:PS Survivor Space.Used,dbl
51,Available db connection activity:(d/dx (source04.JDBCConnectionPoolRuntime.NumAvailable)),Available db connection activity:source04.JDBCConnectionPoolRuntime,dbl
52,GC activity:(incld/dx (PS Scavenge.GarbageCollector.CollectionCount)),GC activity:PS Scavenge,dbl
53,Connection delay:(source02.JDBCConnectionPoolRuntime.ConnectionDelayTime),Connection delay:source02.JDBCConnectionPoolRuntime,dbl
